longitude,latitude
29.919167,31.198056
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
34.167778,31.275278
33.617577,30.608472
31.334314,30.084629
29.919167,31.198056
29.919167,31.198056
31.334314,30.084629
32.271566,30.597448
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.179426,27.181122
31.334314,30.084629
31.185192,30.022924
31.334314,30.084629
29.919167,31.198056
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.7,26.55
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
30.76184,28.087097
30.838812,29.311707
30.838812,29.311707
31.334314,30.084629
31.334314,30.084629
31.501757,30.668561
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.179426,27.181122
30.838812,29.311707
30.865749,29.413616
32.727222,26.17
33.803768,27.205332
30.811893,27.557791
30.761836,28.086912
31.334314,30.084629
31.334314,30.084629
31.334314,30.084629
31.098855,29.073211
32.78763,26.050879
31.098855,29.073211
31.185192,30.022924
,
31.179426,27.181122
31.283333,27.1
30.811893,27.557791
31.814443,31.417539
31.334314,30.084629
31.334314,30.084629
30.838812,29.311707
,
32.727222,26.17
31.098497,29.074371
,
32.727222,26.17
31.334314,30.084629
30.811893,27.557791
30.811893,27.557791
31.125214,27.250379
31.182778,27.182778
31.334314,30.084629
31.7,26.55
31.179426,27.181122
31.179426,27.181122
31.179426,27.181122
31.179426,27.181122
31.179426,27.181122
31.179426,27.181122
31.179426,27.181122
31.179426,27.181122
31.179426,27.181122
31.179426,27.181122
31.179426,27.181122
31.179426,27.181122
31.179426,27.181122
31.179426,27.181122
30.811893,27.557791
30.811893,27.557791
30.811893,27.557791
32.717499,25.71468
30.811893,27.557791
31.334314,30.084629
30.811893,27.557791
32.717499,25.71468
30.811893,27.557791
31.815,31.419444
30.838812,29.311707
31.179426,27.181122
30.811893,27.557791
31.179426,27.181122
30.811893,27.557791
30.299167,31.305556
30.817812,27.440416
30.811893,27.557791
32.220007,26.05133
30.790278,27.35
31.106111,27.201389
31.125214,27.250379
32.301729,31.265259
32.301729,31.265259
32.301729,31.265259
30.766667,27.616667
30.766667,27.616667
30.766667,27.616667
30.841667,27.373611
30.849444,27.641389
30.811893,27.557791
31.432778,26.908611
31.432778,26.908611
31.432778,26.908611
30.811893,27.557791
32.301729,31.265259
,
30.849444,27.641389
31.334314,30.084629
31.179426,27.181122
31.179426,27.181122
30.811893,27.557791
31.179426,27.181122
31.179426,27.181122
30.811893,27.557791
32.727222,26.17
31.334314,30.084629
30.811893,27.557791
29.919167,31.198056
31.334314,30.084629
31.179426,27.181122
31.179426,27.181122
30.817812,27.440416
31.334314,30.084629
30.79689,27.82725
31.319283,27.045349
31.179426,27.181122
30.843773,27.732365
31.179426,27.181122
31.321111,30.312778
31.179426,27.181122
30.746817,27.44169
31.334314,30.084629
32.876366,24.976313
31.179426,27.181122
31.413811,26.992556
31.334314,30.084629
30.883333,27.383333
31.283333,27.1
31.413811,26.992556
30.811893,27.557791
31.676389,31.28
31.302688,27.032401
31.334314,30.084629
32.876366,24.976313
32.876366,24.976313
31.319283,27.045349
31.334314,30.084629
31.334314,30.084629
30.817812,27.440416
31.334314,30.084629
31.413811,26.992556
31.319283,27.045349
30.811893,27.557791
30.811893,27.557791
31.175278,27.138611
31.179426,27.181122
30.817812,27.440416
30.817812,27.440416
31.413811,26.992556
30.838026,27.929867
31.413811,26.992556
31.179426,27.181122
31.334314,30.084629
31.179426,27.181122
31.379042,26.964558
31.334314,30.084629
31.328282,26.87567
31.179426,27.181122
31.334314,30.084629
30.817812,27.440416
31.179426,27.181122
31.319283,27.045349
31.179426,27.181122
31.334314,30.084629
30.756499,28.097438
31.413811,26.992556
31.493889,26.768056
31.69567,26.559074
29.919167,31.198056
31.379042,26.964558
29.919167,31.198056
,
,
31.379042,26.964558
30.967388,27.31284
31.413811,26.992556
30.849444,27.641389
31.413811,26.992556
31.098497,29.074371
30.893056,27.390278
31.413811,26.992556
30.967388,27.31284
31.179426,27.181122
30.756499,28.097438
29.973419,28.257557
31.413811,26.992556
31.7,26.55
31.359662,27.063135
32.238611,26.051389
31.433333,26.916667
32.819036,25.995093
30.843773,27.732365
30.838889,27.491111
31.433333,26.916667
32.717499,25.71468
30.817812,27.440416
30.843773,27.732365
32.424444,26.088611
30.865278,27.751389
30.845782,27.729927
33.803768,27.205332
30.843773,27.732365
31.735833,30.758611
30.843773,27.732365
32.819036,25.995093
31.638356,26.571904
30.843773,27.732365
31.334314,30.084629
30.772778,27.798611
30.843773,27.732365
32.238611,26.051389
32.716667,25.9
30.843773,27.732365
30.811893,27.557791
30.843773,27.732365
32.727222,26.17
30.756499,28.097438
30.756499,28.097438
30.843773,27.732365
30.843773,27.732365
32.727222,26.17
30.843773,27.732365
30.843773,27.732365
30.843773,27.732365
30.843773,27.732365
30.843773,27.732365
31.179426,27.181122
30.843773,27.732365
30.843773,27.732365
30.967388,27.31284
30.843773,27.732365
31.125214,27.250379
30.843773,27.732365
30.951316,27.355419
31.820833,30.689444
30.843773,27.732365
30.843773,27.732365
30.772778,27.798611
30.843773,27.732365
32.717499,25.71468
30.843773,27.732365
31.501944,26.769167
30.8,27.783333
30.843773,27.732365
30.838026,27.929867
30.838026,27.929867
32.727222,26.17
30.772615,27.798694
,
,
30.772778,27.798611
30.843773,27.732365
30.79689,27.82725
30.843773,27.732365
30.843773,27.732365
30.708694,28.309792
,
31.3,29.783333
30.785556,27.745
32.727222,26.17
30.838026,27.929867
30.843773,27.732365
30.843773,27.732365
30.756499,28.097438
32.727222,26.17
32.727222,26.17
30.843773,27.732365
30.840278,28.648611
30.780833,27.952222
30.9164,29.3456
31.098497,29.074371
30.843773,27.732365
30.843773,27.732365
30.803056,27.895
30.772778,27.798611
30.708694,28.309792
30.843773,27.732365
30.843773,27.732365
32.876366,24.976313
30.77723,27.856221
30.708694,28.309792
30.780833,27.952222
30.798889,27.875556
30.80529,28.495031
30.838026,27.929867
30.79689,27.82725
30.756499,28.097438
30.708694,28.309792
30.843773,27.732365
30.843773,27.732365
30.756499,28.097438
30.829167,27.753611
30.843773,27.732365
30.843773,27.732365
30.756499,28.097438
30.843773,27.732365
30.772778,27.798611
30.772778,27.798611
30.843773,27.732365
30.75,27.783333
30.756499,28.097438
31.334314,30.084629
30.843773,27.732365
30.705154,28.510485
30.843773,27.732365
30.772778,27.798611
30.849444,27.641389
30.772778,27.798611
30.843773,27.732365
31.45,26.966667
30.708694,28.309792
30.755529,27.890228
31.179426,27.181122
30.7725,27.679167
31.179426,27.181122
31.413811,26.992556
30.843773,27.732365
30.843773,27.732365
30.843773,27.732365
30.708694,28.309792
30.76184,28.087097
30.843773,27.732365
30.843773,27.732365
30.838026,27.929867
30.840278,28.648611
30.740278,27.775
32.161667,26.055
30.744444,27.666667
30.843773,27.732365
30.843773,27.732365
30.843773,27.732365
30.843773,27.732365
30.843773,27.732365
30.804838,27.775592
30.843773,27.732365
32.727222,26.17
30.897778,28.822778
30.843773,27.732365
30.708694,28.309792
30.843773,27.732365
31.745362,26.565512
30.756499,28.097438
30.756499,28.097438
32.161667,26.055
32.161667,26.055
31.7,26.55
32.161667,26.055
30.843773,27.732365
30.838026,27.929867
30.838026,27.929867
30.838026,27.929867
30.838026,27.929867
30.756499,28.097438
30.838026,27.929867
30.838026,27.929867
30.838026,27.929867
30.843773,27.732365
31.060833,30.558611
30.780833,27.952222
30.789906,28.010769
30.838026,27.929867
30.776051,27.912076
30.843773,27.732365
30.838026,27.929867
31.413811,26.992556
31.413811,26.992556
31.344778,27.064266
31.179426,27.181122
31.179426,27.181122
31.413811,26.992556
31.334314,30.084629
31.334314,30.084629
30.756499,28.097438
31.185192,30.022924
30.756499,28.097438
31.433333,26.916667
31.088889,29.063889
32.55,29.966667
31.334314,30.084629
30.838026,27.929867
30.843773,27.732365
30.838026,27.929867
30.7725,27.679167
30.843773,27.732365
30.756499,28.097438
30.843773,27.732365
31.493889,26.768056
30.843773,27.732365
30.843773,27.732365
30.843773,27.732365
32.457778,29.896389
30.893056,27.390278
30.803056,27.895
31.270278,26.981111
31.344778,27.064266
30.803056,27.895
30.838026,27.929867
31.179426,27.181122
31.179426,27.181122
30.843773,27.732365
30.838026,27.929867
31.088889,29.063889
30.843773,27.732365
30.731005,27.869968
30.849444,27.641389
30.756499,28.097438
30.804838,27.775592
30.808056,27.981111
30.838026,27.929867
31.15334,30.874131
32.238611,26.051389
30.756499,28.097438
30.811893,27.557791
30.838026,27.929867
30.803056,27.895
30.756499,28.097438
30.967388,27.31284
30.7725,27.679167
30.776051,27.912076
31.334314,30.084629
31.334314,30.084629
30.811893,27.557791
