iyear,imonth,iday,extended,governorate,city,longitude,latitude,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,target1,natlty1_txt,gname,individual,weaptype,weaptype_txt,nkills
2016,7,24,0,North Sinai,Rafah,34.241281,31.250196,1,0,3,Bombing/Explosion,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Officer: Ahmad Qurani Yousif,Egypt,Unknown,0,6,Explosives,1
2016,7,25,0,North Sinai,Arish,33.800864,31.126646,1,0,2,Armed Assault,4,Military,36,Military Checkpoint,Checkpoint,Egypt,Unknown,0,5,Firearms,1
2016,7,25,0,North Sinai,Sheikh Zuweid,34.117064,31.212225,1,0,3,Bombing/Explosion,3,Police,23,Police Patrol (including vehicles and convoys),Armored Vehicle,Egypt,Unknown,0,6,Explosives,1
2016,7,29,0,North Sinai,Rafah,34.241281,31.250196,1,0,3,Bombing/Explosion,3,Police,25,Police Security Forces/Officers,Officers,Egypt,Unknown,0,6,Explosives,0
2016,7,27,0,North Sinai,Arish,33.800864,31.126646,1,0,3,Bombing/Explosion,20,Unknown,,,Unknown,Egypt,Unknown,0,6,Explosives,4
2016,7,29,0,North Sinai,Sheikh Zuweid,34.117064,31.212225,0,1,3,Bombing/Explosion,4,Military,36,Military Checkpoint,Checkpoint,Egypt,Sinai Province of the Islamic State,0,6,Explosives,16
2016,7,29,0,Suez,Unknown,32.177933,29.37457,1,0,3,Bombing/Explosion,3,Police,23,Police Patrol (including vehicles and convoys),Armored Vehicle,Egypt,Unknown,0,6,Explosives,3
2016,7,30,0,North Sinai,Unknown,34.251727,31.244561,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,Egypt,Unknown,0,6,Explosives,0
2016,7,30,0,North Sinai,Sheikh Zuweid,34.117064,31.212225,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,Egypt,Unknown,0,6,Explosives,0
2016,7,30,0,North Sinai,Rafah,34.241281,31.250196,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,Egypt,Unknown,0,6,Explosives,0
2016,8,2,0,Giza,Kerdasa,31.110741,30.030554,1,0,2,Armed Assault,3,Police,24,Police Checkpoint,Checkpoint,Egypt,Unknown,0,5,Firearms,0
2016,8,2,0,North Sinai,Rafah,34.241281,31.250196,1,0,2,Armed Assault,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Soldiers,Egypt,Unknown,0,5,Firearms,0
2016,8,3,0,North Sinai,Unknown,33.617577,30.608472,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,Egypt,Unknown,0,6,Explosives,0
2016,8,5,0,Giza,Sixth of October,30.963032,29.997914,0,0,1,Assassination,15,Religious Figures/Institutions,85,Religious Figure,Former Grand Mufti: Sheikh Ali Gomaa,Egypt,Hasam Movement,0,5,Firearms,0
2016,8,5,0,North Sinai,Arish,33.800864,31.126646,1,0,3,Bombing/Explosion,4,Military,35,Military Transportation/Vehicle (excluding convoys),Vehicle,Egypt,Sinai Province of the Islamic State,0,6,Explosives,3
2016,8,7,0,North Sinai,Arish,33.800864,31.126646,1,0,3,Bombing/Explosion,4,Military,29,Military Unit/Patrol/Convoy,Patrol,Egypt,Sinai Province of the Islamic State,0,6,Explosives,4
2016,8,8,0,North Sinai,Arish,33.800864,31.126646,1,0,3,Bombing/Explosion,3,Police,23,Police Patrol (including vehicles and convoys),Vehicle,Egypt,Sinai Province of the Islamic State,0,6,Explosives,0
2016,8,10,0,North Sinai,Sheikh Zuweid,34.117064,31.212225,1,0,2,Armed Assault,4,Military,36,Military Checkpoint,Abu Tawilah Checkpoint,Egypt,Sinai Province of the Islamic State,0,5,Firearms,2
2016,8,10,0,North Sinai,Gora,34.146268,31.082872,1,0,3,Bombing/Explosion,4,Military,35,Military Transportation/Vehicle (excluding convoys),Vehicle,Egypt,Unknown,0,6,Explosives,1
2016,8,11,0,North Sinai,Unknown,33.617577,30.608472,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,Egypt,Unknown,0,6,Explosives,0
2016,8,11,0,North Sinai,Arish,33.800864,31.126646,1,0,3,Bombing/Explosion,4,Military,35,Military Transportation/Vehicle (excluding convoys),Vehicle,Egypt,Sinai Province of the Islamic State,0,6,Explosives,0
2016,8,12,0,North Sinai,Rafah,34.241281,31.250196,1,0,2,Armed Assault,3,Police,24,Police Checkpoint,Al Mansurah Checkpoint,Egypt,Unknown,0,5,Firearms,8
